loc_zone,loc_polygon,lon,lat
Ría de Betanzos,Ferrol B,-8.2106,43.4172
Ría de Betanzos,Ferrol D,-8.275,43.4261
Ría de Betanzos,Sada 1,-8.2875,43.392
Ría de Betanzos,Sada 2,-8.2572,43.3761
Ría de Muros-Noia,Muros A,-8.9756,42.7808
Ría de Muros-Noia,Muros B,-9.0361,42.7833
Ría de Muros-Noia,Muros C,-9.0719,42.7486
Ría de Muros-Noia,Noia A,-8.9567,42.7781
Ría de Arousa,Cambados A,-8.8547,42.5742
Ría de Arousa,Cambados B,-8.885,42.575
Ría de Arousa,Cambados Cnorte,-8.8977,42.5622
Ría de Arousa,Cambados Csur,-8.8952,42.5491
Ría de Arousa,Cambados D,-8.85,42.5197
Ría de Arousa,Cambados A2/E,-8.8433,42.5606
Ría de Arousa,Pobra A,-8.9236,42.5992
Ría de Arousa,Pobra B,-8.9125,42.6111
Ría de Arousa,Pobra C,-8.8956,42.6233
Ría de Arousa,Pobra D,-8.885,42.6031
Ría de Arousa,Pobra E1,-8.8439,42.6089
Ría de Arousa,Pobra E2,-8.8528,42.6008
Ría de Arousa,Pobra G,-8.9136,42.5894
Ría de Arousa,Pobra H,-8.9383,42.5747
Ría de Arousa,O Grove A,-8.8503,42.5058
Ría de Arousa,O Grove B,,
Ría de Arousa,O Grove C1,-8.9197,42.4850
Ría de Arousa,O Grove C2,-8.9250,42.4933
Ría de Arousa,O Grove C3,-8.9028,42.4942
Ría de Arousa,O Grove C4,-8.9031,42.5058
Ría de Arousa,O Grove D,,
Ría de Arousa,O Grove E,,
Ría de Arousa,O Grove F,-8.8381,42.4747
Ría de Arousa,O Grove G,,
Ría de Arousa,O Grove H,,
Ría de Arousa,O Grove R,-8.8611,42.5031
Ría de Arousa,Ribeira B,-8.9964,42.5203
Ría de Arousa,Ribeira C,-8.9589,42.5536
Ría de Arousa,Vilagarcía A,-8.8192,42.6081
Ría de Arousa,Vilagarcía A2,,
Ría de Arousa,Vilagarcía B,-8.83,42.5844
Ría de Pontevedra,Bueu A1,-8.7658,42.3572
Ría de Pontevedra,Bueu A2,-8.7706,42.3472
Ría de Pontevedra,Bueu B,-8.7928,42.3375
Ría de Pontevedra,Cangas A,-8.8297,42.2883
Ría de Pontevedra,Cangas B,-8.8411,42.3006
Ría de Pontevedra,Portonovo A,-8.7292,42.4094
Ría de Pontevedra,Portonovo B,-8.7414,42.3997
Ría de Pontevedra,Portonovo C,-8.7583,42.3911
Ría de Pontevedra,Portonovo D,-8.7036,42.4189
Ría de Vigo,Baiona A,-8.8378,42.1425
Ría de Vigo,Cangas C,-8.7258,42.2697
Ría de Vigo,Cangas D,-8.7122,42.2722
Ría de Vigo,Cangas E,-8.6881,42.2778
Ría de Vigo,Cangas F,-8.8392,42.2458
Ría de Vigo,Cangas G,-8.8203,42.245
Ría de Vigo,Cangas H,-8.8036,42.2442
Ría de Vigo,Redondela A,-8.6753,42.2853
Ría de Vigo,Redondela B,-8.6475,42.2967
Ría de Vigo,Redondela C,-8.6417,42.2931
Ría de Vigo,Redondela D,-8.6589,42.2861
Ría de Vigo,Redondela E,-8.6658,42.2825
Ría de Vigo,Vigo A,-8.6844,42.2678
